2026-08-22 06:31:48,173 | WARNING | urllib3.connectionpool | Retrying (Retry(total=1, connect=2, read=4, redirect=None, status=5)) after connection broken by 'NameResolutionError("HTTPSConnection(host='www.ebi.ac.uk', port=443): Failed to resolve 'www.ebi.ac.uk' ([Errno 11001] getaddrinfo failed)")': /chembl/api/data/molecule/CHEMBL82214.json
2026-08-22 06:32:04,174 | WARNING | urllib3.connectionpool | Retrying (Retry(total=0, connect=1, read=4, redirect=None, status=5)) after connection broken by 'NameResolutionError("HTTPSConnection(host='www.ebi.ac.uk', port=443): Failed to resolve 'www.ebi.ac.uk' ([Errno 11001] getaddrinfo failed)")': /chembl/api/data/molecule/CHEMBL82214.json
2026-08-22 13:25:41,770 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=5, read=4, redirect=None, status=5)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /chembl/api/data/molecule/CHEMBL68920.json
2026-08-22 13:25:57,593 | WARNING | urllib3.connectionpool | Retrying (Retry(total=3, connect=5, read=3, redirect=None, status=5)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /chembl/api/data/molecule/CHEMBL68920.json
2026-08-22 13:27:22,179 | INFO | __main__ | Fetched structures: 100 / 14776
2026-08-22 13:28:56,047 | INFO | __main__ | Fetched structures: 200 / 14776
2026-08-22 13:30:09,488 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=5, read=4, redirect=None, status=5)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /chembl/api/data/molecule/CHEMBL138363.json
2026-08-22 13:30:25,762 | WARNING | urllib3.connectionpool | Retrying (Retry(total=3, connect=5, read=3, redirect=None, status=5)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /chembl/api/data/molecule/CHEMBL138363.json
2026-08-22 13:31:40,316 | WARNING | urllib3.connectionpool | Retrying (Retry(total=4, connect=5, read=4, redirect=None, status=5)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='www.ebi.ac.uk', port=443): Read timed out. (read timeout=60)")': /chembl/api/data/molecule/CHEMBL344486.json
2026-08-22 13:31:44,083 | WARNING | urllib3.connectionpool | Retrying (Retry(total=3, connect=4, read=4, redirect=None, status=5)) after connection broken by 'NewConnectionError("HTTPSConnection(host='www.ebi.ac.uk', port=443): Failed to establish a new connection: [WinError 10053] An established connection was aborted by the software in your host machine")': /chembl/api/data/molecule/CHEMBL344486.json
2026-08-22 13:31:48,090 | WARNING | urllib3.connectionpool | Retrying (Retry(total=2, connect=3, read=4, redirect=None, status=5)) after connection broken by 'NameResolutionError("HTTPSConnection(host='www.ebi.ac.uk', port=443): Failed to resolve 'www.ebi.ac.uk' ([Errno 11001] getaddrinfo failed)")': /chembl/api/data/molecule/CHEMBL344486.json
2026-08-22 13:32:58,406 | INFO | __main__ | Fetched structures: 300 / 14776
2026-08-22 13:33:37,324 | INFO | __main__ | Fetched structures: 400 / 14776
2026-08-22 13:34:16,274 | INFO | __main__ | Fetched structures: 500 / 14776
2026-08-22 13:34:54,536 | INFO | __main__ | Fetched structures: 600 / 14776
2026-08-22 13:35:31,980 | INFO | __main__ | Fetched structures: 700 / 14776
2026-08-22 13:36:18,741 | INFO | __main__ | Fetched structures: 800 / 14776
2026-08-22 13:36:55,611 | INFO | __main__ | Fetched structures: 900 / 14776
2026-08-22 13:37:32,929 | INFO | __main__ | Fetched structures: 1000 / 14776
2026-08-22 13:38:10,018 | INFO | __main__ | Fetched structures: 1100 / 14776
2026-08-22 13:38:48,403 | INFO | __main__ | Fetched structures: 1200 / 14776
2026-08-22 13:39:24,748 | INFO | __main__ | Fetched structures: 1300 / 14776
2026-08-22 13:40:01,551 | INFO | __main__ | Fetched structures: 1400 / 14776
2026-08-22 13:40:38,878 | INFO | __main__ | Fetched structures: 1500 / 14776
2026-08-22 13:41:16,371 | INFO | __main__ | Fetched structures: 1600 / 14776
2026-08-22 13:41:54,419 | INFO | __main__ | Fetched structures: 1700 / 14776
2026-08-22 13:42:31,729 | INFO | __main__ | Fetched structures: 1800 / 14776
2026-08-22 13:43:09,055 | INFO | __main__ | Fetched structures: 1900 / 14776
2026-08-22 13:43:46,375 | INFO | __main__ | Fetched structures: 2000 / 14776
