2026-08-22 05:53:39,493 | INFO | __main__ | Collected 2600 records / 26600
2026-08-22 05:53:39,693 | INFO | __main__ | Fetching ChEMBL activity data: offset=2600 limit=100
2026-08-22 05:53:40,529 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:40,530 | INFO | __main__ | Collected 2700 records / 26600
2026-08-22 05:53:40,731 | INFO | __main__ | Fetching ChEMBL activity data: offset=2700 limit=100
2026-08-22 05:53:41,432 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:41,433 | INFO | __main__ | Collected 2800 records / 26600
2026-08-22 05:53:41,634 | INFO | __main__ | Fetching ChEMBL activity data: offset=2800 limit=100
2026-08-22 05:53:43,340 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:43,341 | INFO | __main__ | Collected 2900 records / 26600
2026-08-22 05:53:43,541 | INFO | __main__ | Fetching ChEMBL activity data: offset=2900 limit=100
2026-08-22 05:53:44,410 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:44,411 | INFO | __main__ | Collected 3000 records / 26600
2026-08-22 05:53:44,612 | INFO | __main__ | Fetching ChEMBL activity data: offset=3000 limit=100
2026-08-22 05:53:45,332 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:45,333 | INFO | __main__ | Collected 3100 records / 26600
2026-08-22 05:53:45,533 | INFO | __main__ | Fetching ChEMBL activity data: offset=3100 limit=100
2026-08-22 05:53:46,273 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:46,274 | INFO | __main__ | Collected 3200 records / 26600
2026-08-22 05:53:46,474 | INFO | __main__ | Fetching ChEMBL activity data: offset=3200 limit=100
2026-08-22 05:53:47,870 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:47,870 | INFO | __main__ | Collected 3300 records / 26600
2026-08-22 05:53:48,071 | INFO | __main__ | Fetching ChEMBL activity data: offset=3300 limit=100
2026-08-22 05:53:48,806 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:48,808 | INFO | __main__ | Collected 3400 records / 26600
2026-08-22 05:53:49,009 | INFO | __main__ | Fetching ChEMBL activity data: offset=3400 limit=100
2026-08-22 05:53:49,721 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:49,723 | INFO | __main__ | Collected 3500 records / 26600
2026-08-22 05:53:49,924 | INFO | __main__ | Fetching ChEMBL activity data: offset=3500 limit=100
2026-08-22 05:53:50,685 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:50,686 | INFO | __main__ | Collected 3600 records / 26600
2026-08-22 05:53:50,886 | INFO | __main__ | Fetching ChEMBL activity data: offset=3600 limit=100
2026-08-22 05:53:51,648 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:51,650 | INFO | __main__ | Collected 3700 records / 26600
2026-08-22 05:53:51,850 | INFO | __main__ | Fetching ChEMBL activity data: offset=3700 limit=100
2026-08-22 05:53:52,599 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:52,600 | INFO | __main__ | Collected 3800 records / 26600
2026-08-22 05:53:52,800 | INFO | __main__ | Fetching ChEMBL activity data: offset=3800 limit=100
2026-08-22 05:53:53,572 | INFO | __main__ | ChEMBL response status: 200
