model,accuracy,precision,recall,f1,roc_auc,pr_auc,cv_roc_auc_mean,cv_roc_auc_std
logistic_regression,0.8383652430044183,0.8913288288288288,0.865500273373428,0.8782246879334258,0.8775582914129922,0.9192994242550212,0.867379922071342,0.004435028246087629
random_forest,0.8921207658321061,0.9363636363636364,0.9010388190267906,0.9183616606297018,0.951195292182876,0.9742569858693262,0.9478309658063988,0.005438985030325802
xgboost,0.884020618556701,0.9078663793103449,0.9212684527063969,0.9145183175033921,0.9410493471398729,0.9690005274224331,0.9389447070308385,0.00586556276072581
