molecule_chembl_id,canonical_smiles,standard_value,pIC50,activity_label,activity_class
CHEMBL5873524,Cc1cccc(Nc2nc(Nc3cccc(NC(=O)/C=C/CN4C[C@@H](C)N[C@@H](C)C4)c3)ncc2F)c1,775.0,6.110698297493689,1,ACTIVE
CHEMBL5873547,COc1nccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)F)CC4)NN3)cccc12,4.0,8.397940008672037,1,ACTIVE
CHEMBL5873702,CCN1CCN(c2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,7.1,8.148741651280925,1,ACTIVE
CHEMBL5873965,COc1cc2c(Nc3cc(C)cc(C)c3)ncnc2cc1O[C@@H]1CO[C@@H]2[C@H]1OC[C@H]2F,50.0,7.301029995663981,1,ACTIVE
CHEMBL5874020,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cc(F)c4nc(C)n(C(C)C)c4c3)n2)c(OC)cc1N(C)CCN(C)C,13.0,7.886056647693163,1,ACTIVE
CHEMBL5874033,CC(N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4cnc(F)c(F)c4)c3c2)c2cccnc2)NN1)C(F)(F)F,72.0,7.142667503568731,1,ACTIVE
CHEMBL5874088,COc1cc(C2CCNCC2)ccc1Nc1nccc(Nc2ccccc2NS(C)(=O)=O)n1,93.0,7.031517051446065,1,ACTIVE
CHEMBL5874587,C=CC(=O)N1CCCC(Nc2nc(Nc3ccc(N4CCN(C5COC5)CC4C)cn3)c3c(c2F)CNC3=O)C1,9011.0,5.045227010310283,0,INACTIVE
CHEMBL5874605,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3F)c2cc1N1CC2(CCN(C)CC2)OC1=O,0.0425,10.371611069949688,1,ACTIVE
CHEMBL5874668,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1OC(F)F)C(=O)NCC2,0.21,9.67778070526608,1,ACTIVE
CHEMBL5874947,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)Nc2ccccc2)c1,775.0,6.110698297493689,1,ACTIVE
CHEMBL5875009,C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc5cnn(C)c45)ncnc3cn2)C1,16000.0,4.795880017344075,0,INACTIVE
CHEMBL5875012,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.355,9.449771646944908,1,ACTIVE
CHEMBL5875146,CN(C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4(C(N)=O)CC4)cc3)n2)C1)c1cc(Cl)cc(C(F)(F)F)c1,10000.0,5.0,0,INACTIVE
CHEMBL5875433,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NC3C4CCCC43)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1,21.0,7.67778070526608,1,ACTIVE
CHEMBL5875583,CN1CCN([C@@H]2CCCN(c3cnc(C(N)=O)c(Nc4ccc(C5(C)CCN(C(=O)C6CC6)CC5)cc4)n3)C2)C1=O,550.0,6.259637310505756,1,ACTIVE
CHEMBL5875616,CC(C)(C)CNc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4(C(F)(F)F)CC4)NN3)c3cccn4nccc34)cc12,11.0,7.958607314841775,1,ACTIVE
